x,y
1,0.8212904412025743
2,0.12669915826329847
3,0.2532484719720768
4,0.9966200301799328
5,0.8628596775633444
6,0.7404385467891306
7,0.4362257885688158
8,0.9957341591659206
9,0.5133524010880738
10,0.8721499120398101
11,0.07491323645411241
12,0.28400530960983794
13,0.9808564423911416
14,0.5475179045298044
15,0.8230550117351693
16,0.6302504648369012
17,0.535230371502855
18,0.4684315169016622
19,0.9768646523194761
20,0.047820376560379074
21,0.40403903937772045
22,0.26987437425517713
23,0.9149256736889987
24,0.3599908336328397
25,0.7700019770025834
26,0.2775608515665441
27,0.718186528394365
28,0.4053915714422126
29,0.32431151316011775
30,0.8772206690109152
31,0.17206762970573708
32,0.40643623176494936
33,0.3456263071426505
34,0.18315656988623752
35,0.5911546064236048
36,0.7103532346687307
37,0.4270463245661583
38,0.022547990473195778
39,0.1833128082691825
40,0.9264918353220499
41,0.3482222896862659
42,0.41498036521070536
43,0.3075516274901192
44,0.04904783362198584
45,0.2546262055377829
46,0.029335654569591307
47,0.46360858495574886
48,0.5293180834832918
49,0.1087715824289458
50,0.8475930337890902
51,0.8341226061152085
52,0.022455036668148964
53,0.7418896671642699
54,0.9631908837540485
55,0.6919783255704759
56,0.3410136658469882
57,0.23763262252693984
58,0.6008945272056773
59,0.5777441886639776
60,0.28272429738048055
61,0.4720469820226463
62,0.009252412722716818
63,0.9916225803454248
64,0.05114214259364802
65,0.6005416322671927
66,0.5199257038192661
67,0.3052569895351649
68,0.2278386897504262
69,0.7166297218897378
70,0.9869042889196404
71,0.761104757791096
72,0.8919571257321468
73,0.973297847648719
74,0.9314884880780505
75,0.4261875952267584
76,0.06039047925323171
77,0.9516766116777942
78,0.2264912282934588
79,0.3832740896773703
80,0.0867136762705617
81,0.45870216935706576
82,0.4181889638948396
83,0.44390309471571576
84,0.07487803468184573
85,0.11776124470793259
86,0.7887790421667185
87,0.9631779218127026
88,0.4854952977842265
89,0.015098652803989365
90,0.8043044696721312
91,0.823859868420817
92,0.06436260070660693
93,0.3712868029507739
94,0.7351249796116032
95,0.699412587941399
96,0.7749499910578228
97,0.41102398638539583
98,0.7431736987310906
99,0.5570538789618771
100,0.9543322634560532
101,0.16391393448304714
102,0.6023069958104293
103,0.293650694256681
104,0.5329293797492851
105,0.16875257755731798
106,0.9849011979213029
107,0.0405314939296858
108,0.002144914457299474
109,0.2523399666177134
110,0.38551798867481724
111,0.8152271368063155
112,0.5406383159655468
113,0.27912480563811026
114,0.9619146882886279
115,0.0010529015159422839
116,0.6426845659383672
117,0.7941222547155933
118,0.06867604196669408
119,0.5708609522827471
120,0.3208723618314111
121,0.8813263628269162
122,0.48243541271072665
123,0.8407756188686284
124,0.4644220247921338
125,0.6821422038301724
126,0.9762542734586711
127,0.1800630636720133
128,0.18226877410933162
129,0.5315755527280498
130,0.650131948480041
131,0.258370929154517
132,0.626190110875535
133,0.1384523151802316
134,0.559908597606211
135,0.7475520970887232
136,0.6732196704238974
137,0.6489898348604022
138,0.8596625676591177
139,0.7141845791254109
140,0.10434112757925584
141,0.8720939805471
142,0.832369055261706
143,0.4490915497092557
144,0.7521474033481934
145,0.6640051001790229
146,0.39739069651413716
147,0.39617856957149555
148,0.6032608320715556
149,0.9662606969155587
150,0.046042747520776084
151,0.8816286995419992
152,0.9317021797525682
153,0.7008672627940629
154,0.4933351409885478
155,0.6223772765791307
156,0.2098686490771181
157,0.1983468289544097
158,0.08477231763568205
159,0.20311974554291412
160,0.014899679757580109
161,0.13187926578030684
162,0.29150207811416895
163,0.15742548219171548
164,0.5629003992137933
165,0.3482638009723783
166,0.8963317793183747
167,0.8965778891352651
168,0.8722468398645474
169,0.6623270292462223
170,0.022806710667212737
171,0.8408085024028549
172,0.970500329221529
173,0.058048748641911674
174,0.1783622194719604
175,0.32544392556429325
176,0.39232118295692875
177,0.8635270847740787
178,0.7955063488068636
179,0.1965091140567018
180,0.31065330679628744
181,0.6705346281275626
182,0.9363912398872263
183,0.9157592117669635
184,0.3885244654126597
185,0.5378662558346868
186,0.991295509210476
187,0.9813087624206205
188,0.010026403874931589
189,0.545576235558602
190,0.6795312804901709
191,0.039669564003785185
192,0.9240175739506487
193,0.31272285379824727
194,0.5990645806595968
